"path_id","criteria","criteria_item","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","pareto_os","sucra_os"
"C1870","ANC, Platelets, Hemoglobin, Creatinine_v5, HIV_v2, Hepatitis_B_C, Autoimmune_disease","2, 3, 4, 7, 9, 10, 11",0.846534238867398,0.0789942047764164,0.212803793716656,1956,0.0344801301928754,0.484855769339919,0,2.73950587572466
"C1358","ANC, Platelets, Hemoglobin, Creatinine_v5, HIV_v2, Autoimmune_disease","2, 3, 4, 7, 9, 11",0.846534238867398,0.0789942047764164,0.212803793716656,1956,0.0344801301928754,0.484855769339919,0,2.73936253319376
"C1089","ECOG, Creatinine_v5, Autoimmune_disease","1, 7, 11",0.845974019911467,0.0824766747346401,0.223026315789473,1764,0.0467251393952399,0.477943395643164,0,2.73918635965374
"C1621","ECOG, Platelets, ALT_AST, Creatinine_v5, Hepatitis_B_C, Autoimmune_disease","1, 3, 5, 7, 10, 11",0.847709991544409,0.0843842788434534,0.222071767095464,1710,0.0414672244442931,0.475990412233205,0,2.73845088642259
"C629","ECOG, Platelets, ALT_AST, Total_bilirubin, Creatinine_v5, Hepatitis_B_C","1, 3, 5, 6, 7, 10",0.847801171628122,0.0851475623289778,0.222977566281441,1704,0.0458489435558376,0.474789674709013,0,2.73806541519941
"C1095","ECOG, ANC, Platelets, Creatinine_v5, Autoimmune_disease","1, 2, 3, 7, 11",0.84738909874922,0.0837509342003352,0.222222222222223,1728,0.0433942182878964,0.481372619483771,0,2.73733756345252
"C1603","ECOG, ANC, Creatinine_v5, Hepatitis_B_C, Autoimmune_disease","1, 2, 7, 10, 11",0.847125055664054,0.0827520735073854,0.221635883905013,1757,0.0434345065626918,0.477474263881777,0,2.73710452191455
"C1901","ECOG, Platelets, Hemoglobin, Total_bilirubin, Creatinine_v5, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 3, 4, 6, 7, 9, 10, 11",0.846883720340527,0.0857367357210293,0.223076923076923,1655,0.0295502903887135,0.493187481730164,0,2.73694329820904
"C1806","ANC, Platelets, Hemoglobin, HIV_v2, Hepatitis_B_C, Autoimmune_disease","2, 3, 4, 9, 10, 11",0.846534238867398,0.0789942047764164,0.212803793716656,1956,0.0344801301928754,0.484855769339919,0,2.73582968210496
"C1027","ECOG, ANC, Autoimmune_disease","1, 2, 11",0.847125055664054,0.0827520735073854,0.221635883905013,1757,0.0434345065626918,0.477474263881777,0,2.73458913897454
"C1818","ANC, Hemoglobin, ALT_AST, HIV_v2, Hepatitis_B_C, Autoimmune_disease","2, 4, 5, 9, 10, 11",0.847525344590786,0.0790876252396897,0.211401425178148,1956,0.0209166503225098,0.477634025998149,0,2.73423298115236
"C1389","ECOG, Platelets, Hemoglobin, Total_bilirubin, Creatinine_v5, HIV_v2, Autoimmune_disease","1, 3, 4, 6, 7, 9, 11",0.846883720340527,0.0857367357210293,0.223076923076923,1655,0.0295502903887135,0.493187481730164,0,2.73416292212397
"C1657","ECOG, Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, Hepatitis_B_C, Autoimmune_disease","1, 4, 5, 6, 7, 10, 11",0.846438348340793,0.140771622659177,0.223300970873786,1674,0.0986781831275909,0.483591431056092,0,2.73356258367144
"C2036","Platelets, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","3, 5, 6, 7, 8, 9, 10, 11",0.84745519918336,0.0940845446631534,0.21000581733566,1992,0.0450628434027909,0.463561694579387,0,2.73343331157302
"C1543","ECOG, ANC, Platelets, Hepatitis_B_C, Autoimmune_disease","1, 2, 3, 10, 11",0.84738909874922,0.0837509342003352,0.222222222222223,1728,0.0433942182878964,0.481372619483771,0,2.73304578841177
"C426","ANC, Hemoglobin, Total_bilirubin, CNS_metastasis, HIV_v2","2, 4, 6, 8, 9",0.846548062705775,0.105478658460529,0.21133412042503,1968,0.0583613253810331,0.477275336763865,0,2.73258234354192
"C794","ANC, Hemoglobin, ALT_AST, HIV_v2, Hepatitis_B_C","2, 4, 5, 9, 10",0.847161424013841,0.0787342843729316,0.211150652431792,1960,0.00447976904396175,0.478347086471879,0,2.73235868229227
"C1804","Platelets, Hemoglobin, HIV_v2, Hepatitis_B_C, Autoimmune_disease","3, 4, 9, 10, 11",0.846731073036489,0.0785536873248895,0.213143872113677,1961,0.0247755517386794,0.484404522906591,0,2.7322396698842
"C1081","ECOG, Hemoglobin, ALT_AST, Total_bilirubin, Autoimmune_disease","1, 4, 5, 6, 11",0.846438348340793,0.140771622659177,0.223300970873786,1674,0.0986781831275909,0.483591431056092,0,2.73211069091979
"C1224","Hemoglobin, Creatinine_v5, CNS_metastasis, Autoimmune_disease","4, 7, 8, 11",0.846692441563474,0.116485699697026,0.213869463869464,2001,0.0703900161779738,0.476673218313117,0,2.73210746644568
"C1524","Platelets, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Autoimmune_disease","3, 5, 6, 7, 8, 9, 11",0.84745519918336,0.0940845446631534,0.21000581733566,1992,0.0450628434027909,0.463561694579387,0,2.73160532788651
"C1651","ECOG, ANC, ALT_AST, Total_bilirubin, Creatinine_v5, Hepatitis_B_C, Autoimmune_disease","1, 2, 5, 6, 7, 10, 11",0.846919038424017,0.0844345492859961,0.221774193548387,1722,0.0551339440077117,0.471227438145517,0,2.73135176696784
"C1587","ECOG, ANC, ALT_AST, Total_bilirubin, Hepatitis_B_C, Autoimmune_disease","1, 2, 5, 6, 10, 11",0.846919038424017,0.0844345492859961,0.221774193548387,1722,0.0551339440077117,0.471227438145517,0,2.73067931754885
"C1672","Hemoglobin, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","4, 8, 10, 11",0.846692441563474,0.116485699697026,0.213869463869464,2001,0.0703900161779738,0.476673218313117,0,2.7297128547178
"C1736","Hemoglobin, Creatinine_v5, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","4, 7, 8, 10, 11",0.846692441563474,0.116485699697026,0.213869463869464,2001,0.0703900161779738,0.476673218313117,0,2.72884605745016
"C490","ANC, Hemoglobin, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2","2, 4, 6, 7, 8, 9",0.846548062705775,0.105478658460529,0.21133412042503,1968,0.0583613253810331,0.477275336763865,0,2.72883052134763
"C73","ECOG, Hemoglobin, Creatinine_v5","1, 4, 7",0.848290258717129,0.102803315872092,0.22312925170068,1710,0.0668435174838913,0.489661530202698,0,2.72508485496755
"C103","ECOG, ANC, Platelets, Total_bilirubin, Creatinine_v5","1, 2, 3, 6, 7",0.84765541654872,0.0840963799109876,0.223418573351278,1718,0.0458948166437763,0.4810788097623,0,2.72486177998592
"C1968","ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","5, 6, 8, 9, 10, 11",0.849033088268324,0.0849846974862984,0.209742120343839,2028,0.0288822645033018,0.458775451794182,0,2.72411018438422
